score,nombre1,nombre2,local1,local2,categoria1,categoria2,medida1,medida2,color1,color2,material1,material2,fabricante1,fabricante2,precio_venta1,precio_venta2,cat
0.9598,colchon palace con pillow,colchon palace sin pillow,Longchamps,Vidriera,dormitorio,dormitorio,1 plaza,1 1/2 plaza,,,resorte,resorte,taurus,taurus,245000.00,245000.00,palabras_diferentes
0.9598,colchon palace con pillow,colchon palace sin pillow,Estacion,Longchamps,dormitorio,dormitorio,1 plaza,1 1/2 plaza,,,resorte,resorte,taurus,taurus,245000.00,245000.00,palabras_diferentes
0.9598,colchon palace con pillow,colchon palace sin pillow,Estacion,Vidriera,dormitorio,dormitorio,1 plaza,1 1/2 plaza,,,resorte,resorte,taurus,taurus,245000.00,245000.00,palabras_diferentes
0.9597,conjunto colchon gold jackard con pillow,conjunto colchon gold jackard sin pillow,Longchamps,Longchamps,conjuntos,conjuntos,2 1/2 plazas,1 plaza,,,espuma,espuma,taurus,taurus,605000.00,370000.00,palabras_diferentes
0.9591,conjunto colchon gold jackard sin pillow,conjunto colchon gold jackard con pillow,Longchamps,Vidriera,conjuntos,conjuntos,1 plaza,2 1/2 plazas,,,espuma,espuma,taurus,taurus,370000.00,605000.00,palabras_diferentes
0.9563,conjunto colchon palace con pillow,conjunto colchon palace sin pillow,Longchamps,Longchamps,conjuntos,conjuntos,1plaza,1 1/2 plaza,,,resorte,resorte,taurus,taurus,346000.00,380000.00,palabras_diferentes
0.9562,colchon palace con pillow,colchon palace sin pillow,Longchamps,Longchamps,dormitorio,dormitorio,1 plaza,2 1/2 plazas,,,resorte,resorte,taurus,taurus,245000.00,315000.00,palabras_diferentes
0.9562,colchon palace con pillow,colchon palace sin pillow,Longchamps,Vidriera,dormitorio,dormitorio,1 plaza,2 1/2 plazas,,,resorte,resorte,taurus,taurus,245000.00,315000.00,palabras_diferentes
0.9562,colchon palace con pillow,colchon palace sin pillow,Estacion,Longchamps,dormitorio,dormitorio,1 plaza,2 1/2 plazas,,,resorte,resorte,taurus,taurus,245000.00,315000.00,palabras_diferentes
0.9562,colchon palace con pillow,colchon palace sin pillow,Estacion,Vidriera,dormitorio,dormitorio,1 plaza,2 1/2 plazas,,,resorte,resorte,taurus,taurus,245000.00,315000.00,palabras_diferentes
0.9562,colchon palace con pillow,colchon palace sin pillow,Vidriera,Estacion,dormitorio,dormitorio,2 1/2 plazas,1 plaza,,,resorte,resorte,taurus,taurus,375000.00,210000.00,palabras_diferentes
0.9554,conjunto colchones super lujo,conjunto colchon super lujo,Longchamps,Longchamps,conjuntos,conjuntos,1 plaza,2 plazas 1/2,,,espuma,espuma,taurus,taurus,310000.00,580000.00,palabras_diferentes
0.9554,conjunto colchones super lujo,conjunto colchon super lujo,Longchamps,Vidriera,conjuntos,conjuntos,1 plaza,2 plazas 1/2,,,espuma,espuma,taurus,taurus,310000.00,580000.00,palabras_diferentes
0.9547,mesa escandilava,mesa escandinava,Longchamps,Vidriera,comedor,comedor,"1,40m","1,40x80",,,melamina,melamina,,,166000.00,300000.00,palabras_diferentes
0.9524,"combo bajo,alacena,mesada","combo bajo,alacena y mesada",Longchamps,Longchamps,cocina,cocina,"1,20m",1m,.,.,pino,pino,.,.,258000.00,231000.00,palabras_diferentes
