tipo,score,name_sim,cat_sim,med_sim,est_sim,col_sim,mat_sim,fab_sim,cod_sim,des_sim,items_sim,precio_diff,precio_rel,costo_diff,costo_rel,id1,local1,nombre1,categoria1,medida1,estado1,color1,material1,fabricante1,codigo1,descripcion1,precio_venta1,precio_costo1,cantidad1,is_combo1,items_sig1,id2,local2,nombre2,categoria2,medida2,estado2,color2,material2,fabricante2,codigo2,descripcion2,precio_venta2,precio_costo2,cantidad2,is_combo2,items_sig2
producto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,0.0103,0.0,0.0,166,Longchamps,placard corredizo,dormitorio,80cm,Nuevo,,pino,pinitos,,,96000.00,0.00,1,0,,349,Vidriera,placard corredizo,dormitorio,80cm,Nuevo,,pino,pinitos,,,97000.00,0.00,1,0,
producto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,0.0095,0.0,0.0,358,Vidriera,placard corredizo,dormitorio,"1,60m",Nuevo,,pino,pinitos,,,208000.00,0.00,1,0,,407,Longchamps,placard corredizo,dormitorio,"1,60m",Nuevo,,pino,pinitos,,,210000.00,0.00,3,0,
producto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12000.0,0.0496,0.0,0.0,253,Longchamps,secarropa 6kg,electrodomesticos,,Nuevo,,acero,caddy,,,230000.00,0.00,2,0,,552,Estacion,secarropa 6kg,electrodomesticos,,Nuevo,,acero,caddy,,,242000.00,0.00,1,0,
producto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500.0,0.0088,0.0,0.0,302,Vidriera,silla adriana,comedor,,Nuevo,,caño,ezequiel,,,56500.00,0.00,6,0,,684,Longchamps,silla adriana,comedor,,Nuevo,,caño,ezequiel,,,57000.00,0.00,12,0,
producto,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000.0,0.0244,0.0,0.0,357,Vidriera,alzada corrediza,cocina,"1,60m",Nuevo,,pino,pinitos,,,82000.00,0.00,1,0,,408,Longchamps,alzada corrediza,cocina,"1,60m",Nuevo,,pino,pinitos,,,80000.00,0.00,2,0,
producto,0.9944,0.9787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76,Estacion,colchon standard 17 alto,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,105000.00,0.00,2,0,,220,Vidriera,colchon standard 17alto,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,105000.00,0.00,2,0,
producto,0.9942,1.0,1.0,1.0,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,119,Longchamps,colchon quantium,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,970000.00,0.00,1,0,,254,Vidriera,colchon quantium,dormitorio,2 1/2 plazas,Nuevo,,resortes,taurus,,,970000.00,0.00,1,0,
producto,0.9942,1.0,1.0,1.0,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,72,Estacion,colchon silver,dormitorio,1 plaza,Nuevo,,resorte,taurus,,,170000.00,0.00,1,0,,212,Vidriera,colchon silver,dormitorio,1 plaza,Nuevo,,resortes,taurus,,,170000.00,0.00,1,0,
producto,0.9942,1.0,1.0,1.0,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,104,Longchamps,colchon equis,dormitorio,1 plaza,Nuevo,,resorte,taurus,,,260000.00,0.00,4,0,,215,Vidriera,colchon equis,dormitorio,1 plaza,Nuevo,,resosrte,taurus,,,260000.00,0.00,1,0,
producto,0.9942,1.0,1.0,1.0,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,117,Longchamps,colchon luxor,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,490000.00,0.00,3,0,,241,Vidriera,colchon luxor,dormitorio,2 1/2 plazas,Nuevo,,resosrte,taurus,,,490000.00,0.00,1,0,
