combo_id,local,nombre,medida,motivo
636,Longchamps,combo sommier equis,medida,No se encontro par colchon+box con misma medida
639,Vidriera,combo sommier equis,medida,No se encontro par colchon+box con misma medida
604,Longchamps,conjunto palace c/pillow,1 plaza 1/2,No se encontro par colchon+box con misma medida
